Значения перечисления ХозяйственныеОперации
==========================================

АвансовыйОтчет | Авансовый отчет
ВводОстатковТоваровПереданныхНаОтветственноеХранение | Ввод остатков товаров, переданных на ответственное хранение
ВводОстатковТоваровПолученныхНаКомиссию | Ввод остатков товаров, принятых на комиссию
ВводОстатковТоваровПринятыхНаОтветственноеХранение | Ввод остатков товаров, принятых на ответственное хранение
ВводОстатковУзловКомпонентовАмортизации | Ввод остатков узлов и компонентов амортизации
ВводОстатковФинансовогоРезультатаЗаПрошлыеПериоды | Ввод остатков финансового результата за прошлые периоды
ВводПервоначальныхСведенийДляРасчетаЗемельногоНалога | Ввод первоначальных сведений для расчета земельного налога
ВводПервоначальныхСведенийДляРасчетаНалогаНаИмущество | Ввод первоначальных сведений для расчета налога на имущество
ВводПервоначальныхСведенийДляРасчетаТранспортногоНалога | Ввод первоначальных сведений для расчета транспортного налога
ВзаимозачетДебиторскойЗадолженности | Взаимозачет дебиторской задолженности
ВзаимозачетЗадолженности | Взаимозачет задолженности
ВзаимозачетКредиторскойЗадолженности | Взаимозачет кредиторской задолженности
ВключениеАмортизационнойПремииВРасходы | Включение амортизационной премии в расходы
ВключениеИсключениеНДСВСтоимости | Включение/исключение НДС в стоимости
ВключениеНГЛСВСтоимостьЧИА | Включение НГЛС в стоимость ЧИА
ВключениеНДСВСтоимость | Включение НДС в стоимость
ВнесениеДенежныхСредствВКассуККМ | Внесение ДС в кассу ККМ
ВнутреннееПоступлениеДенежныхСредств | Внутреннее поступление ДС
ВнутреннееПоступлениеРабот | Внутреннее поступление работ
ВнутреннееПоступлениеРасходов | Внутреннее поступление расходов
ВнутреннееПоступлениеТоваров | Внутреннее поступление товаров
ВнутреннееПотребление | Внутреннее потребление
ВнутренняяПередачаДенежныхСредств | Передача ДС между организацией и филиалами
ВозвратБронирования | Возврат бронирования
ВозвратБронированияПодотчетногоЛица | Возврат бронирования подотчетного лица
ВозвратВыкупнойСтоимостиПредметовАренды | Возврат выкупной стоимости предметов аренды
ВозвратВыкупнойСтоимостиПредметовАрендыАванс | Возврат выкупной стоимости предметов аренды (аванс)
ВозвратДавальцу | Возврат давальцу (2.4)
ВозвратДавальцу2_5 | Возврат давальцу
ВозвратДенежныхДокументовПоставщику | Возврат денежных документов поставщику
ВозвратДенежныхСредствВДругуюОрганизацию | Возврат ДС другой организации
ВозвратДенежныхСредствОтАрендодателя | Возврат ДС от арендодателя
ВозвратДенежныхСредствОтДругойОрганизации | Возврат ДС от другой организации
ВозвратДенежныхСредствОтПодотчетника | Возврат ДС от подотчетника
ВозвратДенежныхСредствОтПоставщика | Возврат или иное поступление от поставщика
ВозвратДеньВДень | Возврат день в день
ВозвратИзПроизводства | Возврат из производства
ВозвратИзЭксплуатации | Возврат из эксплуатации
ВозвратМатериаловИзКладовой | Возврат материалов из кладовой
