Значения перечисления ХозяйственныеОперации
==========================================

АвансовыйОтчет | Авансовый отчет
ОбъединениеОС | Объединение в новое ОС
ОказаниеАгентскихУслуг | Оказание агентских услуг
ОплатаАрендодателю | Оплата арендодателю
ОплатаВыкупнойСтоимостиПредметовАренды | Оплата выкупной стоимости предметов аренды
ОплатаВыкупнойСтоимостиПредметовАрендыАванс | Оплата выкупной стоимости предметов аренды (аванс)
ОплатаДенежныхСредствВДругуюОрганизацию | Оплата ДС в другую организацию
ОплатаОбеспечительногоПлатежа | Оплата обеспечительного платежа
ОплатаПодарочнымСертификатом | Оплата подарочным сертификатом
ОплатаПоКредитам | Оплата по кредитам и займам полученным
ОплатаПоставщику | Оплата поставщику
ОплатаПоставщикуПодотчетнымЛицом | Оплата поставщику подотчетным лицом
ОплатаПроцентовПоКредитам | Оплата процентов по кредитам
ОплатаУслугПоАренде | Оплата услуг по аренде
ОприходованиеЗаСчетДоходов | Оприходование (за счет доходов/пассивов)
ОприходованиеЗаСчетРасходов | Оприходование (за счет расходов/активов)
ОприходованиеИзлишковТоваровВПользуКомитента | Оприходование излишков в пользу комитента
ОприходованиеИзлишковТоваровВПользуПоклажедателя | Оприходование излишков в пользу поклажедателя
ОприходованиеПоВозврату | Оприходование по возврату
ОприходованиеПриВыбытииОС | Оприходование (при выбытии ОС)
ОприходованиеТМЦВЭксплуатации | Оприходование ТМЦ в эксплуатации
ОприходованиеТоваров | Оприходование товаров
ОтгрузкаБезПереходаПраваСобственности | Отгрузка (товары в пути)
ОтгрузкаПринятыхСПравомПродажиТоваровСХранения | Отгрузка принятых с правом продажи товаров с хранения
ОтклонениеВСтоимостиТоваровДоходы | Отклонение в стоимости товаров (доходы)
ОтклонениеВСтоимостиТоваровРасходы | Отклонение в стоимости товаров (расходы)
ОтклоненияВСтоимостиДенежныхДокументовДоходы | Отклонения в стоимости денежных документов (доходы)
ОтклоненияВСтоимостиДенежныхДокументовРасходы | Отклонения в стоимости денежных документов (расходы)
ОтражениеАрендныхОбязательствВДоходах | Отражение арендных обязательств в доходах
ОтражениеАрендныхОбязательствВРасходах | Отражение арендных обязательств в расходах
ОтражениеВозвратаОплатыЧерезКомиссионера | Отражение возврата оплаты через комиссионера
ОтражениеЗадолженностиПередКомитентом | Отражение задолженности перед комитентом
ОтражениеЗаработнойПлаты | Отражение заработной платы
ОтражениеИзлишкаПриИнвентаризацииДенежныхСредств | Отражение излишка при инвентаризации денежных средств
ОтражениеИзлишкаПриИнкассацииДенежныхСредств | Отражение излишка при инкассации денежных средств
ОтражениеИзлишковНаДоходыПриПоступленииТоваров | Отражение излишков на доходы при поступлении товаров
ОтражениеНалоговВзносовСЗаработнойПлаты | Отражение налогов взносов с заработной платы
ОтражениеНалоговВзносовСоСдельнойЗаработнойПлаты | Отражение налогов взносов со сдельной заработной платы
ОтражениеНДФЛ | Отражение НДФЛ
ОтражениеНедостачЗаСчетПоставщикаПриПоступленииТоваров | Отражение недостач за счет поставщика при поступлении товаров
ОтражениеНедостачЗаСчетСтороннейКомпанииПриПоступленииТоваров | Отражение недостач за счет сторонней компании при поступлении товаров
ОтражениеНедостачиПриИнвентаризацииДенежныхСредств | Отражение недостачи при инвентаризации денежных средств
ОтражениеНедостачиПриИнкассацииДенежныхСредств | Отражение недостачи при инкассации денежных средств
ОтражениеНедостачНаРасходыПриПоступленииТоваров | Отражение недостач на расходы при поступлении товаров
ОтражениеОплатыЧерезКомиссионера | Отражение оплаты через комиссионера
ОтражениеПлановойСтоимостиВыпуска | Отражение плановой стоимости выпуска
ОтражениеПремииКлиентаРетроБонус | Отражение премии клиента (ретро-бонус)
ОтражениеПремииПоставщикаРетроБонус | Отражение премии поставщика (ретро-бонус)
ОтражениеПрочихАктивовПассивов | Отражение прочих активов/пассивов
ОтражениеРасходовЗаСчетПрочихАктивовПассивов | Отражение расходов за счет прочих активов/пассивов
ОтражениеСдельнойЗаработнойПлаты | Отражение сдельной заработной платы
ОтражениеУслугПоАрендеВРасходах | Отражение услуг по аренде в расходах
ОтчетБанкаПоОперациямЭквайринга | Отчет банка по операциям эквайринга
ОтчетДавальцу | Отчет давальцу (2.4)
ОтчетДавальцу2_5 | Отчет давальцу
ОтчетДавальцуКорректировкаПрошлогоПериода | Отчет давальцу корректировка прошлого периода
ОтчетДавальцуМеждуОрганизациями | Отчет давальцу между организациями
ОтчетДавальцуМеждуОрганизациямиОтклонения | Отчет давальцу между организациями (отклонения)
ОтчетДавальцуСписаниеНаРасходы | Отчет давальцу (списание на расходы)
ОтчетДавальцуСторно | Отчет давальцу сторно
ОтчетКомиссионера | Отчет комиссионера
ОтчетКомиссионераКомиссия | Отчет комиссионера (комиссионное вознаграждение)
ОтчетКомиссионераОСписании | Отчет комиссионера о списании
ОтчетКомитенту | Отчет комитенту
ОтчетКомитентуКомиссия | Отчет комитенту (комиссионное вознаграждение)
ОтчетКомитентуОСписании | Отчет комитенту о списании
ОтчетПоКомиссииМеждуОрганизациями | Отчет по комиссии между организациями
ОтчетПоКомиссииМеждуОрганизациямиКомиссия | Отчет по комиссии между организациями (комиссионное вознаграждение)
ОтчетПоКомиссииМеждуОрганизациямиОСписании | Отчет по комиссии между организациями о списании
ОтчетПринципалуОЗакупках | Отчет принципалу о закупках
ОтчетПринципалуОЗакупкахКомиссия | Отчет принципалу о закупках (комиссионное вознаграждение)
ОформлениеГТДБрокером | Оформление ГТД через брокера
ОформлениеГТДСамостоятельно | Самостоятельное оформление ГТД
ОформлениеТаможеннойДекларацииЭкспорт | Оформление таможенной декларации на экспорт
ПараметрыНачисленияЗемельногоНалога | Параметры начисления земельного налога
ПараметрыНачисленияНалогаНаИмущество | Параметры начисления налога на имущество
ПараметрыНачисленияТранспортногоНалога | Параметры начисления транспортного налога
ПереводОсновныхСредствИнвестиционногоИмущества | Перевод основных средств и инвестиционного имущества
ПередачаВПроизводство | Передача в производство
ПередачаВСоставНМА | Передача в состав НМА и НИОКР
ПередачаВСоставОС | Передача в состав основных средств
ПередачаВЭксплуатацию | Передача в эксплуатацию
ПередачаВЭксплуатациюБУНУ | Передача в эксплуатацию (БУ и НУ)
ПередачаДавальцу | Передача давальцу (2.4)
ПередачаДавальцу2_5 | Передача давальцу
ПередачаМатериаловВКладовую | Передача материалов в кладовую
ПередачаМатериаловВПроизводство | Передача материалов в производство
ПередачаНаКомиссию | Передача на комиссию
ПередачаНаКомиссиюВДругуюОрганизацию | Передача на комиссию в другую организацию
ПередачаНаПрочиеЦели | Передача на прочие цели
ПередачаНаПрочиеЦелиОтклонения | Передача на прочие цели (отклонения)
ПередачаНаХранениеСПравомПродажи | Передача на хранение с правом продажи
ПередачаОСВАренду | Передача ОС в аренду
ПередачаПереработчику | Передача переработчику (2.4)
ПередачаПереработчику2_5 | Передача переработчику
ПередачаПлатежаИзФилиала | Передача платежа из филиала
ПередачаПродукцииИзКладовой | Передача продукции из кладовой
ПередачаПродукцииИзПроизводства | Передача продукции из производства
ПередачаПродукцииИзПроизводстваОтклонения | Передача продукции из производства (отклонения)
ПередачаПродукцииИзПроизводстваФиксированнаяСтоимость | Передача продукции из производства (фикс. стоимость)
ПередачаПрочихРасходовМеждуФилиалами | Передача прочих расходов между филиалами
ПеремаркировкаТоваровГИСМ | Перемаркировка товаров ГИСМ
ПеремещениеАмортизацииНМАвДругуюОрганизацию | Перемещение амортизации НМА в другую организацию
ПеремещениеАмортизацииНМАизДругойОрганизации | Перемещение амортизации НМА из другой организации
ПеремещениеАмортизацииОСвДругуюОрганизацию | Перемещение амортизации ОС в другую организацию
ПеремещениеАмортизацииОСизДругойОрганизации | Перемещение амортизации ОС из другой организации
ПеремещениеВЭксплуатации | Перемещение в эксплуатации
ПеремещениеДенежныхДокументов | Перемещение денежных документов
ПеремещениеМатериаловВПроизводстве | Перемещение материалов в производстве
ПеремещениеНМА | Перемещение НМА
ПеремещениеНМАвПодразделениеВыделенноеНаБаланс | Перемещение НМА в подразделение, выделенное на баланс
ПеремещениеОС | Перемещение ОС
ПеремещениеОСвПодразделениеВыделенноеНаБаланс | Перемещение ОС в подразделение, выделенное на баланс
ПеремещениеОСпоИнвентаризации | Перемещение ОС по инвентаризации
ПеремещениеПолуфабрикатов | Перемещение полуфабрикатов
ПеремещениеПолуфабрикатовМеждуФилиалами | Перемещение полуфабрикатов между филиалами
ПеремещениеРезерваПереоценкиНМАвДругуюОрганизацию | Перемещение резерва переоценки НМА в другую организацию
ПеремещениеРезерваПереоценкиНМАизДругойОрганизации | Перемещение резерва переоценки НМА из другой организации
ПеремещениеРезерваПереоценкиОСвДругуюОрганизацию | Перемещение резерва переоценки ОС в другую организацию
ПеремещениеРезерваПереоценкиОСизДругойОрганизации | Перемещение резерва переоценки ОС из другой организации
ПеремещениеСтоимостиНМАвДругуюОрганизацию | Перемещение стоимости НМА в другую организацию
ПеремещениеСтоимостиНМАизДругойОрганизации | Перемещение стоимости НМА из другой организации
ПеремещениеСтоимостиОСвДругуюОрганизацию | Перемещение стоимости ОС в другую организацию
ПеремещениеСтоимостиОСизДругойОрганизации | Перемещение стоимости ОС из другой организации
ПеремещениеТоваров | Перемещение товаров
ПеремещениеТоваровМеждуФилиалами | Перемещение товаров между филиалами
ПеремещениеУзлов | Перемещение узлов
ПереносАванса | Перенос аванса
ПереносДолга | Перенос долга
ПереносЗадолженностиМеждуФилиалами | Перенос задолженности между филиалами
ПереносОстатковПодНовыйВидДеятельности | Перенос остатков под новый вид деятельности при смене налогообложения организации
ПереносОтклоненийВСтоимостиТоваров | Перенос отклонений в стоимости товаров
ПереносПлатежаМеждуФилиалами | Перенос платежа между филиалами
ПереносПретензииНаАвансы | Перенос претензии на авансы
ПереносПретензииНаРасчеты | Перенос претензии на расчеты
ПереносРасходовНДД | Перенос расходов
ПереносРНПТМатериаловНаПродукцию | Перенос РНПТ материалов на продукцию
ПереоценкаДенежныхСредств | Переоценка денежных средств
ПереоценкаНМА | Переоценка НМА
ПереоценкаОС | Переоценка ОС
ПереоценкаРасчетовПоАренде | Переоценка расчетов по аренде
ПереоценкаРасчетовСКлиентами | Переоценка расчетов с клиентами
ПереоценкаРасчетовСКомитентом | Переоценка расчетов с комитентом (принципалом)
ПереоценкаРасчетовСПоставщиками | Переоценка расчетов с поставщиками
ПереоценкаРезервовПоСомнительнымДолгам | Переоценка резервов по сомнительным долгам
ПереоценкаСуммДисконтирования | Переоценка сумм дисконтирования
ПереоценкаФинансовыхИнструментов | Переоценка финансовых инструментов
ПерерасчетЗемельногоНалога | Перерасчет земельного налога
ПерерасчетИмущественныхНалогов | Перерасчет имущественных налогов
ПерерасчетНалогаНаИмущество | Перерасчет налога на имущество
ПерерасчетТранспортногоНалога | Перерасчет транспортного налога
ПересортицаПартийТоваров | Пересортица партий товаров
ПересортицаТоваров | Пересортица товаров
ПересортицаТоваровСПереоценкой | Пересортица товаров (переоценка)
ПересортицаТоваровУПереработчика | Пересортица товаров у переработчика
ПересортицаТоваровУХранителя | Пересортица товаров у хранителя
ПеречислениеВБюджет | Перечисление налогов и взносов
ПеречислениеДенежныхСредствНаДругойСчет | Перечисление ДС на другой счет
ПеречислениеНаДепозиты | Перечисление на депозиты
ПеречислениеТаможне | Таможенный платеж
ПланированиеПоЗаказуКлиента | Планирование оплаты от клиента
ПланированиеПоЗаказуПоставщику | Планирование оплаты поставщику
ПланированиеПоЗаявке | Планирование по заявке
ПланированиеПоСчету | Планирование по счету
ПогашениеЗадолженностиКлиента | Погашение задолженности клиента
ПогашениеЗадолженностиПоставщику | Погашение задолженности поставщику
ПогашениеЗаймаСотрудником | Погашение займа сотрудником
ПогашениеСтоимостиТМЦВЭксплуатации | Погашение стоимости ТМЦ в эксплуатации
ПодготовкаКПередачеНМА | Подготовка к передаче НМА
ПодготовкаКПередачеОС | Подготовка к передаче ОС
ПокупкаПолученнойВозвратнойТары | Покупка полученной возвратной тары
ПорчаТоваров | Порча товаров
ПорчаТоваровСПереоценкой | Порча товаров с переоценкой
ПорчаТоваровУПереработчика | Порча товаров у переработчика
ПорчаТоваровУХранителя | Порча товаров у хранителя
ПорядокПризнанияРасходовНДДПоОбъектуВНА | Порядок признания расходов НДД по объекту ВНА
ПорядокПризнанияРасходовНДДПоТемамЭтапам | Порядок признания расходов НДД по темам, этапам исследований и разработок
ПоставкаПодПринципала | Поставка под принципала
ПоступлениеАрендованныхОС | Поступление арендованных ОС (забалансовый учет)
ПоступлениеДенежныхДокументовОтПодотчетника | Поступление денежных документов от подотчетного лица
ПоступлениеДенежныхДокументовОтПоставщика | Поступление денежных документов от поставщика
ПоступлениеДенежныхСредствИзБанка | Поступление ДС из банка
ПоступлениеДенежныхСредствИзДругойКассы | Поступление ДС из другой кассы
ПоступлениеДенежныхСредствИзДругойОрганизации | Поступление ДС от другой организации
ПоступлениеДенежныхСредствИзКассыККМ | Поступление ДС из кассы ККМ
ПоступлениеДенежныхСредствИзКассыНаРасчетныйСчет | Инкассация ДС из кассы на расчетный счет
ПоступлениеДенежныхСредствОтКонвертацииВалюты | Поступление ДС от конвертации валюты
ПоступлениеДенежныхСредствПоДепозитам | Поступление ДС по депозитам
ПоступлениеДенежныхСредствПоЗаймамВыданным | Погашение займа контрагентом
ПоступлениеДенежныхСредствПоКредитам | Поступление по кредитам и займам полученным
ПоступлениеДенежныхСредствСДругогоСчета | Поступление ДС с другого счета
ПоступлениеЗатрат | Поступление затрат
ПоступлениеИзПроизводства | Поступление из производства
ПоступлениеНДСВЧастиВыкупнойСтоимости | Поступление НДС в части выкупной стоимости
ПоступлениеНДСВЧастиОбеспечительногоПлатежа | Поступление НДС в части обеспечительного платежа
ПоступлениеНДСВЧастиУслугиПоАренде | Поступление НДС в части услуги по аренде
ПоступлениеНМА | Поступление НМА и НИОКР
ПоступлениеОбъектовСтроительства | Поступление объектов строительства
ПоступлениеОплатыОтКлиента | Поступление оплаты от клиента
ПоступлениеОплатыОтКлиентаПоПлатежнойКарте | Поступление ДС по эквайринговым операциям
ПоступлениеОплатыПоПлатежнойКарте | Поступление оплаты по эквайрингу
ПоступлениеОС | Поступление основных средств
ПоступлениеОтДавальца | Поступление от давальца (2.4)
ПоступлениеОтДавальца2_5 | Поступление от давальца
ПоступлениеОтПереработчика | Поступление от переработчика (2.4)
ПоступлениеОтПереработчика2_5 | Поступление от переработчика
ПоступлениеОтПереработчикаФиксированнаяСтоимость | Поступление от переработчика фиксированная стоимость
ПоступлениеПроцентовПоЗаймамВыданным | Поступление процентов по займам выданным
ПоступлениеПрочихАктивов | Поступление прочих активов
ПоступлениеПрочихУслуг | Поступление прочих услуг
ПоступлениеУслуг | Поступление услуг
ПоступлениеУслугДляПроизводства | Поступление услуг для производства
ПоступлениеУслугПоАренде | Поступление услуг по аренде
ПоступлениеУслугРеглУчет | Поступление услуг (закупка по регл.)
ПрекращениеДоговораАренды | Прекращение договора аренды
ПриемкаПодПринципала | Приемка под принципала
ПриемНаКомиссию | Прием на комиссию
ПриемНаХранениеСПравомПродажи | Прием на хранение с правом продажи
ПриемОплатыОтКомиссионера | Прием оплаты от комиссионера
ПриемПередачаРаботМеждуПодразделениями | Прием-передача работ между подразделениями
ПриемПередачаРаботМеждуФилиалами | Прием-передача работ между филиалами
ПриемПлатежаВФилиале | Прием платежа в филиале
ПризнаниеАвансаВРасходахНДДПоАмортизируемомуИмуществу | Признание аванса в расходах НДД (амортизируемое имущество)
ПризнаниеВНУАрендныхПлатежей | Признание в НУ арендных платежей
ПризнаниеВосстановленныхРасходовНДД | Признание восстановленных расходов
ПризнаниеРасходовНДДПоАмортизируемомуИмуществу | Признание и распределение расходов НДД (амортизируемое имущество)
ПризнаниеРасходовПоИсследованиям | Признание расходов по исследованиям
ПринятиеКУчетуНМА | Принятие к учету НМА
ПринятиеКУчетуНМАпоИнвентаризации | Принятие к учету НМА по инвентаризации
ПринятиеКУчетуОС | Принятие к учету ОС
ПринятиеКУчетуОСпоИнвентаризации | Принятие к учету ОС по инвентаризации
ПринятиеКУчетуПредметовАренды | Принятие к учету предметов аренды
ПринятиеКУчетуСамортизированногоОС | Принятие к учету самортизированного ОС
ПринятиеКУчетуУзловКомпонентовАмортизации | Принятие к учету узлов и компонентов амортизации
ПринятиеНДСкВычету | Принятие НДС к вычету
ПрисоединениеОС | Присоединение к существующему ОС
ПрисоединениеРезервовПоСомнительнымДолгамКДоходам | Присоединение резервов по сомнительным долгам к доходам
ПрисоединениеРезервовПоСомнительнымДолгамКРасходам | Присоединение резервов по сомнительным долгам к расходам
ПроизводствоИзДавальческогоСырья | Производство из давальческого сырья (2.4)
ПроизводствоИзДавальческогоСырья2_5 | Производство из давальческого сырья
ПроизводствоУПереработчика | Производство у переработчика (2.4)
ПроизводствоУПереработчика2_5 | Производство у переработчика
ПроизводствоУПереработчикаВСтранахЕАЭС2_5 | Производство у переработчика (в странах ЕАЭС)
ПрочаяВыдачаДенежныхСредств | Прочий расход ДС
ПрочееНачислениеНДС | Прочее начисление НДС
ПрочееПоступлениеДенежныхСредств | Прочее поступление ДС
ПрочиеДоходы | Прочие доходы
ПрочиеДоходыАктивыПассивы | Прочие доходы за счет прочих активов/пассивов
ПрочиеРасходы | Прочие расходы
ПрочиеРасходыАктивыПассивы | Прочие расходы за счет прочих активов/пассивов
ПрочиеРасходыПодотчетногоЛица | Прочие расходы подотчетного лица
РазборкаТоваров | Разборка на комплектующие
РазукомплектацияОСПолная | Разукомплектация ОС
РазукомплектацияОСЧастичная | Частичная разукомплектация ОС
РаспределениеДоходовПоНаправлениямДеятельности | Распределение доходов по направлениям деятельности
РаспределениеКлассификацияРасходовНДДПроизводствоРеализация | Распределение классификация расходов НДД производство и реализация
РаспределениеНДС | Распределение НДС
РаспределениеНормируемыхРасходовПоНУ | Распределение нормируемых расходов по НУ
РаспределениеПоВыбывшимТоварам | Распределение по выбывшим товарам
РаспределениеРасходовНаОВЗ | Распределение расходов на объекты возникновения затрат
РаспределениеРасходовНаПартииПроизводства | Распределение расходов на партии производства
РаспределениеРасходовНаСебестоимость | Распределение расходов на себестоимость
РаспределениеРасходовНаСебестоимостьПродаж | Распределение расходов на себестоимость продаж
РаспределениеРасходовНаСебестоимостьПроизводства | Распределение расходов на себестоимость производства
РаспределениеРасходовПоНаправлениямДеятельности | Распределение расходов по направлениям деятельности
РаспределениеРБП | Распределение расходов будущих периодов
РасходыНаТаможенныеСборыШтрафы | Расходы на таможенные сборы (штрафы)
РасходыОтПереоценкиТоваров | Расходы от переоценки товаров
РасходыОтСписанияАктиваСОтложеннымПереходомПрав | Расходы от списания актива с отложенным переходом прав
РасчетРезервовПодОбесценениеЗапасов | Расчет резервов под обесценение запасов
РасчетСебестоимостиТоваров | Расчет себестоимости товаров
РеализацияБезПереходаПраваСобственности | Реализация (товары в пути)
РеализацияВнеоборотныхАктивов | Реализация внеоборотных активов
РеализацияВРозницу | Реализация в розницу
РеализацияКлиенту | Реализация
РеализацияКлиентуРеглУчет | Реализация (только регл. учет)
РеализацияКомиссионногоТовара | Реализация комиссионного товара
РеализацияНМА | Реализация НМА и НИОКР
РеализацияОС | Реализация основных средств
РеализацияОСсОтложеннымПереходомПрав | Реализация ОС с отложенным переходом прав
РеализацияПереданнойВозвратнойТары | Реализация переданной возвратной тары
РеализацияПерепоставленногоТовара | Реализация перепоставленного товара
РеализацияПодарочныхСертификатов | Реализация подарочных сертификатов
РеализацияПрочихАктивов | Реализация прочих активов
РеализацияПрочихУслуг | Реализация прочих услуг
РеализацияТоваровВДругуюОрганизацию | Реализация товаров в другую организацию
РеализацияУслугПоАренде | Реализация услуг по аренде
РеализацияЧерезКомиссионера | Реализация через комиссионера
РеализацияЧерезКомиссионераБезПереходаПраваСобственности | Реализация через комиссионера (товары в пути)
РегистрацияДефекта | Регистрация дефекта
РегистрацияРасходовУУ | Регистрация расходов в упр. учете
РегистрацияСдельныхРабот | Регистрация сдельных работ
РегламентнаяОперация | Регламентная операция
РегламентнаяОперацияМеждународныйУчет | Регламентная операция международный учет
РезервированиеАвансаКлиента | Резервирование аванса клиента
РеклассификацияДолгосрочныхАктивовОбязательств | Реклассификация долгосрочных активов и обязательств
РеклассификацияДоходов | Реклассификация доходов
РеклассификацияНМА | Реклассификация (изменение параметров) НМА
РеклассификацияОС | Реклассификация (изменение параметров) ОС
РеклассификацияРасходов | Реклассификация расходов
Ремонт | Ремонт
СборкаТоваров | Сборка из комплектующих
СдачаДенежныхСредствВБанк | Сдача ДС в банк
СебестоимостьРеализацииНМА | Себестоимость реализации НМА
СебестоимостьРеализацииОС | Себестоимость реализации ОС
СлужебноеИзменениеМетодаОценкиСтоимости | Служебное (изменение метода оценки стоимости)
СнятиеНаличныхДенежныхСредств | Инкассация ДС из банка в кассу
СнятиеСРегистрацииЗемельныхУчастков | Снятие с регистрации земельных участков
СнятиеСРегистрацииТранспортныхСредств | Снятие с регистрации транспортных средств
СобственноеПроизводство | Собственное производство
СписаниеАмортизацииНМА | Списание амортизации НМА
СписаниеАмортизацииОС | Списание амортизации ОС
СписаниеАмортизацииЦФНМА | Списание амортизации ЦФ НМА
СписаниеБезнадежнойЗадолженностиЗаСчетРезервовПоСомнительнымДолгам | Списание безнадежной задолженности за счет резервов по сомнительным долгам
СписаниеДебиторскойЗадолженности | Списание дебиторской задолженности
СписаниеДебиторскойЗадолженностиНаАктивыПассивы | Списание дебиторской задолженности на активы \ пассивы
СписаниеДебиторскойЗадолженностиНаРасходы | Списание дебиторской задолженности на расходы
СписаниеДенежныхДокументов | Списание денежных документов
СписаниеЗалоговойСтоимостиАрендованныхОС | Списание залоговой стоимости арендованных ОС
СписаниеИзЭксплуатации | Списание из эксплуатации
СписаниеКомиссионныхТоваров | Списание комиссионных товаров
СписаниеКосвенныхРасходов | Списание косвенных расходов
СписаниеКредиторскойЗадолженности | Списание кредиторской задолженности
СписаниеКредиторскойЗадолженностиВДоходы | Списание кредиторской задолженности в доходы
СписаниеНаРасходыМалоценныхТМЦВМесяцеПриобретения | Списание на расходы малоценных ТМЦ в месяце приобретения
СписаниеНаРасходыНИОКР | Списание на расходы НИОКР
СписаниеНаРасходыНИОКРВДругуюОрганизацию | Списание на расходы НИОКР в другую организацию
СписаниеНаРасходыНИОКРИзДругойОрганизации | Списание на расходы НИОКР из другой организации
СписаниеНаРасходыОтклонения | Списание на расходы (отклонения)
СписаниеНаРасходыСтоимостиНМАНеПринимаяКУчету | Списание на расходы стоимости НМА (не принимая к учету)
СписаниеНаРасходыСтоимостиОСНеПринимаяКУчету | Списание на расходы стоимости ОС (не принимая к учету)
СписаниеНаРасходыФиксированнаяСтоимость | Списание на расходы (фиксированная стоимость)
СписаниеНДСПоАренде | Списание НДС по аренде
СписаниеНДСПоПриобретеннымЦенностям | Списание НДС по приобретенным ценностям
СписаниеНДССПолученногоАванса | Списание НДС с полученного аванса
СписаниеНедостачЗаСчетКомитента | Списание недостач за счет комитента
СписаниеНедостачЗаСчетПоклажедателя | Списание недостач за счет поклажедателя
СписаниеНеУчитываемойСтоимостиНУ | Списание не учитываемой стоимости НУ
СписаниеНМА | Списание НМА
СписаниеНМАЧастичное | Частичное списание НМА
СписаниеОбесцененияНМА | Списание обесценения НМА
СписаниеОбесцененияОС | Списание обесценения ОС
СписаниеОС | Списание ОС
СписаниеОСпоИнвентаризации | Списание ОС по инвентаризации
СписаниеОСЧастичное | Частичное списание ОС
СписаниеОтклоненийНаСебестоимостьПродаж | Списание отклонений на себестоимость продаж
СписаниеОтклоненийНаСебестоимостьПродажОтклонения | Списание отклонений на себестоимость продаж (отклонения)
СписаниеОшибокОкругления | Списание ошибок округления
СписаниеОшибокОкругленияВозвратныеОтходы | Списание ошибок округления (стоимость возвратных отходов в производстве)
СписаниеПринятыхТоваровЗаСчетПоклажедателя | Списание принятых товаров за счет поклажедателя
СписаниеПринятыхТоваровНаРасходы | Списание принятых товаров на расходы
СписаниеПроцентовПоАренде | Списание процентов по аренде
СписаниеПроцентовПоДисконтированию | Списание процентов по дисконтированию
СписаниеПрочихДоходов | Списание прочих доходов
СписаниеПрочихРасходов | Списание прочих расходов
СписаниеРасходовЗаСчетРезервов | Списание расходов за счет резервов
СписаниеРасходовНаПартииПроизводства | Списание расходов на партии производства
СписаниеРасхожденийПоступлениеПриобретение | Списание расхождений между поступлением и приобретением
СписаниеРезерваПереоценкиАмортизацииНМА | Списание резерва переоценки амортизации НМА
СписаниеРезерваПереоценкиАмортизацииОС | Списание резерва переоценки амортизации ОС
СписаниеРезерваПереоценкиСтоимостиНМА | Списание резерва переоценки стоимости НМА
СписаниеРезерваПереоценкиСтоимостиОС | Списание резерва переоценки стоимости ОС
СписаниеРезервовПоВознаграждениям | Списание резервов по вознаграждениям
СписаниеРезервовПодОбесценениеЗапасов | Списание резервов под обесценение запасов
СписаниеРезервовПоСтраховымВзносам | Списание резервов по страховым взносам
СписаниеРезервовПредстоящихРасходов | Списание резервов предстоящих расходов
СписаниеСтоимостиАрендованныхОС | Списание стоимости арендованных ОС
СписаниеСтоимостиНМА | Списание стоимости НМА
СписаниеСтоимостиОС | Списание стоимости ОС
СписаниеСтоимостиЦФНМА | Списание стоимости ЦФ НМА
СписаниеСуммНДД | Списание сумм НДД
СписаниеТоваров | Списание товаров
СписаниеТоваровДавальцаЗаСчетДавальца | Списание товаров давальца за счет давальца
СписаниеТоваровДавальцаНаРасходы | Списание товаров давальца на расходы
СписаниеТоваровПоТребованию | Списание на расходы
СписаниеТоваровСХранения | Списание товаров с хранения
СписаниеТоваровУКомиссионера | Списание товаров у комиссионера
СписаниеТоваровУПереработчика | Списание товаров у переработчика
СписаниеУзловКомпонентовАмортизации | Списание узлов и компонентов амортизации
СторнированиеПрочихДоходов | Сторнирование прочих доходов
СторнированиеПрочихРасходов | Сторнирование прочих расходов
СторнированиеРасходовУУ | Сторнирование расходов в упр. учете
СторноИспользованияБронированияПодотчетнымЛицом | Сторно использования бронирования подотчетным лицом
СторноОбесцененияНИОКР | Сторно обесценения НИОКР
СторноОбесцененияНИОКРВДругуюОрганизацию | Сторно обесценения НИОКР в другую организацию
СторноОбесцененияНИОКРИзДругойОрганизации | Сторно обесценения НИОКР из другой организации
СторноОбесцененияНМА | Сторно обесценения НМА
СторноОбесцененияНМАВДругуюОрганизацию | Сторно обесценения НМА в другую организацию
СторноОбесцененияНМАИзДругойОрганизации | Сторно обесценения НМА из другой организации
СторноОбесцененияОС | Сторно обесценения ОС
СторноОбесцененияОСВДругуюОрганизацию | Сторно обесценения ОС в другую организацию
СторноОбесцененияОСИзДругойОрганизации | Сторно обесценения ОС из другой организации
СторноПереданнойТары | Сторно переданной тары
СторноПереданнойТарыВозвратНаДругойСклад | Сторно переданной тары (возврат на другой склад)
СторноПоступления | Сторно поступления
СторноПризнанияАвансаВРасходахНДД | Сторно признания аванса в расходах НДД
СторноПроизводственныхЗатрат | Сторно производственных затрат
СторноРеализации | Сторно реализации
СторноРеализацииВозвратНаДругойСклад | Сторно реализации (возврат на другой склад)
СторноСписанияНаРасходы | Сторно списания на расходы
ТранзитРасходовМеждуОВЗ | Транзит расходов между объектами возникновения затрат
УвеличениеАмортизацииНМА | Увеличение амортизации НМА
УвеличениеАмортизацииНМАЗаСчетУценки | Увеличение амортизации НМА за счет уценки
УвеличениеАмортизацииНМАНаНачалоГода | Увеличение амортизации НМА (на начало года)
УвеличениеАмортизацииОС | Увеличение амортизации ОС
УвеличениеАмортизацииОСЗаСчетУценки | Увеличение амортизации ОС за счет уценки
УвеличениеАмортизацииОСНаНачалоГода | Увеличение амортизации ОС (на начало года)
УвеличениеАмортизацииЦФНМА | Увеличение амортизации ЦФ НМА
УвеличениеАмортизацииЦФНМАНаНачалоГода | Увеличение амортизации ЦФ НМА (на начало года)
УвеличениеАмортизацииЦФОС | Увеличение амортизации ЦФ ОС
